name,team,battingStyle,bowlingStyle,playingRole,Status
Aaron Finch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Not Playing
AB deVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Not Playing
Abdul Basith,Royals,Right hand Bat,Right arm Offbreak,Allrounder,Not Playing
Abdul Samad,Sunrisers,Right hand Bat,Legbreak,Batter,Playing
Abhijeet Tomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter,Not Playing
Abhinav Manohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder,Playing
Abhishek Sharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Abishek Porel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Adam Milne,Mumbai,Right hand Bat,Right arm Fast,Bowler,Not Playing
Adam Zampa,Royals,Right hand Bat,Legbreak Googly,Bowler,Playing
Adil Rashid,Punjab Kings,Right hand Bat,Legbreak,Bowler,Not Playing
Aiden Markram,Sunrisers,Right hand Bat,Right arm Offbreak,Opening Batter,Playing
Ajinkya Rahane,Super Kings,Right hand Bat,Right arm Medium,Top order Batter,Playing
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Playing
Akash Madhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler,Playing
Akash Singh,Sunrisers,Right hand Bat,Left arm Medium fast,Bowler,Playing
Akeal Hosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,Not Playing
Alzarri Joseph,RCB,Right hand Bat,Right arm Fast,Bowler,Playing
Aman Hakim Khan,KKR,Right hand Bat,Right arm Medium,Allrounder,Not Playing
Ambati Rayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter,Not Playing
Amit Mishra,Super Giants,Right hand Bat,Legbreak,Bowler,Playing
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder,Playing
Andrew Tye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,Not Playing
Anmolpreet Singh,Sunrisers,Right hand Bat,Right arm Offbreak,Batter,Playing
Anrich Nortje,Capitals,Right hand Bat,Right arm Fast,Bowler,Playing
Anuj Rawat,RCB,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Anukul Roy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Arjun Tendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler,Playing
Arshad Khan,Mumbai,Left hand Bat,Left arm Medium,Bowler,Not Playing
Arshdeep Singh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler,Playing
Atharva Taide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,Playing
Avesh Khan,Royals,Right hand Bat,Right arm Fast medium,Bowler,Playing
Axar Patel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Playing
Ayush Badoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter,Playing
Baba Indrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter,Not Playing
Basil Thampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Ben Stokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder,Not Playing
Bhanuka Rajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter,Not Playing
Bhuvneshwar Kumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler,Playing
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,Playing
Chetan Sakariya,KKR,Left hand Bat,Left arm Medium fast,Bowler,Playing
Chris Gayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder,Not Playing
Chris Jordan,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Chris Lynn,Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter,Not Playing
Chris Morris,Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Not Playing
Chris Woakes,Capitals,Right hand Bat,Right arm Fast medium,Allrounder,Playing
Dan Christian,RCB,Right hand Bat,Right arm Fast medium,Allrounder,Not Playing
Daniel Sams,RCB,Right hand Bat,Left arm Fast medium,Allrounder,Not Playing
Darshan Nalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler,Playing
Daryl Mitchell,Super Kings,Right hand Bat,Right arm Medium,Batting Allrounder,Playing
Dasun Shanaka,Titans,Right hand Bat,Right arm Medium,Allrounder,Not Playing
David Miller,Titans,Left hand Bat,Right arm Offbreak,Middle order Batter,Playing
David Warner,Capitals,Left hand Bat,Legbreak,Opening Batter,Playing
David Wiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder,Not Playing
David Willey,Super Giants,Left hand Bat,Left arm Fast medium,Bowling Allrounder,Playing
Dawid Malan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter,Not Playing
Deepak Chahar,Super Kings,Right hand Bat,Right arm Medium,Bowler,Playing
